[13:32:55]	CT-2894 Lechu ran 'use' on item 'Sok' (#24851)
[13:33:54]	CT-2894 Lechu has gained 8 RU.
[13:34:02]	CT-2894 Lechu entered observer.
[13:34:04]	CT-2894 Lechu exited observer at their location.
[13:36:33]	⭐ lechu2375 ⭐ has killed CT-2894 Lechu.
[13:55:34]	CT-2894 Lechu entered observer.
[13:55:40]	CT-2894 Lechu exited observer at their location.
[13:59:25]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:25]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:25]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:25]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:59:27]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:12]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:12]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:15]	CT-2894 Lechu entered observer.
[14:01:16]	CT-2894 Lechu exited observer at their location.
[14:01:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:49]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:49]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:50]	CT-2894 Lechu has taken 25 damage from worldspawn.
[14:01:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:52]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:52]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:52]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:52]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:52]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:53]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:53]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:53]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:01:53]	nb_type1 has killed CT-2894 Lechu.
[14:02:22]	CT-2894 Lechu entered observer.
[14:02:25]	CT-2894 Lechu exited observer at their location.
[14:07:45]	CT-2894 Lechu entered observer.
[14:08:33]	CT-2894 Lechu exited observer at their location.
[14:08:36]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:08:36]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:09:08]	CT-2894 Lechu entered observer.
[14:10:39]	CT-2894 Lechu exited observer at their location.
[14:10:44]	CT-2894 Lechu entered observer.
[14:10:55]	CT-2894 Lechu exited observer at their location.
